Date,Close,125MA,Spread
2016-06-16,1951.99,1954.31624,-2.32624
2016-06-17,1953.4,1954.32688,-0.92688
2016-06-20,1981.12,1954.58688,26.53312
2016-06-21,1982.7,1955.02592,27.67408
2016-06-22,1992.58,1955.5028,37.0772
2016-06-23,1986.71,1955.64128,31.06872
2016-06-24,1925.24,1955.21952,-29.97952
2016-06-27,1926.85,1954.83176,-27.98176
2016-06-28,1936.22,1954.472,-18.252
2016-06-29,1956.36,1954.1824,2.1776
2016-06-30,1970.35,1953.95144,16.39856
2016-07-01,1987.32,1953.9248,33.3952
2016-07-04,1995.3,1954.17472,41.12528
2016-07-05,1989.85,1954.36304,35.48696
2016-07-06,1953.12,1954.29752,-1.17752
2016-07-07,1974.08,1954.74008,19.33992
2016-07-08,1963.1,1955.00064,8.09936
2016-07-11,1988.54,1955.50552,33.03448
2016-07-12,1991.23,1956.20072,35.02928
2016-07-13,2005.55,1956.90416,48.64584
2016-07-14,2008.77,1957.8156,50.9544
2016-07-15,2017.26,1958.8268,58.4332
2016-07-18,2021.11,1959.66544,61.44456
2016-07-19,2016.89,1960.60048,56.28952
2016-07-20,2015.46,1961.6932,53.7668
2016-07-21,2012.22,1962.76336,49.45664
2016-07-22,2010.34,1963.72896,46.61104
2016-07-25,2012.32,1965.06392,47.25608
2016-07-26,2027.34,1966.5584,60.7816
2016-07-27,2025.05,1967.72336,57.32664
2016-07-28,2021.1,1968.74472,52.35528
2016-07-29,2016.19,1969.90072,46.28928
2016-08-01,2029.61,1970.95464,58.65536
2016-08-02,2019.03,1971.85136,47.17864
2016-08-03,1994.79,1972.5132,22.2768
2016-08-04,2000.03,1973.11488,26.91512
2016-08-05,2017.94,1974.0056,43.9344
2016-08-08,2031.12,1975.1292,55.9908
2016-08-09,2043.78,1976.14936,67.63064
2016-08-10,2044.64,1977.16416,67.47584
2016-08-11,2048.8,1978.66224,70.13776
2016-08-12,2050.47,1980.38376,70.08624
2016-08-16,2047.76,1981.86824,65.89176
2016-08-17,2043.75,1983.11184,60.63816
2016-08-18,2055.47,1984.48408,70.98592
2016-08-19,2056.24,1985.66328,70.57672
2016-08-22,2042.16,1986.67064,55.48936
2016-08-23,2049.93,1987.7392,62.1908
2016-08-24,2043.76,1988.77552,54.98448
2016-08-25,2042.92,1989.81864,53.10136
2016-08-26,2037.5,1990.77008,46.72992
2016-08-29,2032.35,1991.6676,40.6824
2016-08-30,2039.74,1992.65224,47.08776
2016-08-31,2034.65,1993.35008,41.29992
2016-09-01,2032.72,1993.94648,38.77352
2016-09-02,2038.31,1994.60792,43.70208
2016-09-05,2060.08,1995.4256,64.6544
2016-09-06,2066.53,1996.38888,70.14112
2016-09-07,2061.88,1997.26032,64.61968
2016-09-08,2063.73,1998.01552,65.71448
2016-09-09,2037.87,1998.5472,39.3228
2016-09-12,1991.48,1998.70088,-7.22088
2016-09-13,1999.36,1998.936,0.424
2016-09-19,2015.78,1999.26304,16.51696
2016-09-20,2025.71,1999.5648,26.1452
2016-09-21,2035.99,1999.91576,36.07424
2016-09-22,2049.7,2000.39528,49.30472
2016-09-23,2054.07,2000.85336,53.21664
2016-09-26,2047.11,2001.26928,45.84072
2016-09-27,2062.82,2001.88408,60.93592
2016-09-28,2053.06,2002.43808,50.62192
2016-09-29,2068.72,2003.12752,65.59248
2016-09-30,2043.63,2003.51728,40.11272
2016-10-04,2054.86,2003.93904,50.92096
2016-10-05,2053,2004.39624,48.60376
2016-10-06,2065.3,2005.13008,60.16992
2016-10-07,2053.8,2005.72872,48.07128
2016-10-10,2056.82,2006.48136,50.33864
2016-10-11,2031.93,2006.96624,24.96376
2016-10-12,2033.73,2007.44496,26.28504
2016-10-13,2015.44,2007.79208,7.64792
2016-10-14,2022.66,2008.2104,14.4496
2016-10-17,2027.61,2008.58072,19.02928
2016-10-18,2040.43,2008.77672,31.65328
2016-10-19,2040.94,2008.98656,31.95344
2016-10-20,2040.6,2009.23856,31.36144
2016-10-21,2033,2009.41168,23.58832
2016-10-24,2047.74,2009.74696,37.99304
2016-10-25,2037.17,2009.86752,27.30248
2016-10-26,2013.89,2009.85472,4.03528
2016-10-27,2024.12,2009.93128,14.18872
2016-10-28,2019.42,2009.9296,9.4904
2016-10-31,2008.19,2009.87192,-1.68192
2016-11-01,2007.39,2009.9236,-2.5336
2016-11-02,1978.94,2009.80192,-30.86192
2016-11-03,1983.8,2009.84712,-26.04712
2016-11-04,1982.02,2009.812,-27.792
2016-11-07,1997.58,2009.97896,-12.39896
2016-11-08,2003.38,2010.26352,-6.88352
2016-11-09,1958.38,2010.07056,-51.69056
2016-11-10,2002.6,2010.25056,-7.65056
2016-11-11,1984.43,2010.30608,-25.87608
2016-11-14,1974.4,2010.36536,-35.96536
2016-11-15,1967.53,2010.36232,-42.83232
2016-11-16,1979.65,2010.45504,-30.80504
2016-11-17,1980.55,2010.6456,-30.0956
2016-11-18,1974.58,2010.868,-36.288
2016-11-21,1966.05,2011.01504,-44.96504
2016-11-22,1983.47,2011.2408,-27.7708
2016-11-23,1987.95,2011.64296,-23.69296
2016-11-24,1971.26,2011.72896,-40.46896
2016-11-25,1974.46,2011.86816,-37.40816
2016-11-28,1978.13,2011.93984,-33.80984
2016-11-29,1978.39,2012.02992,-33.63992
2016-11-30,1983.48,2012.03056,-28.55056
2016-12-01,1983.75,2012.0388,-28.2888
2016-12-02,1970.61,2011.9228,-41.3128
2016-12-05,1963.36,2011.74296,-48.38296
2016-12-06,1989.86,2011.5688,-21.7088
2016-12-07,1991.89,2011.28728,-19.39728
2016-12-08,2031.07,2011.34248,19.72752
2016-12-09,2024.69,2011.39896,13.29104
2016-12-12,2027.24,2011.7844,15.4556
2016-12-13,2035.98,2012.296,23.684
2016-12-14,2036.87,2012.84032,24.02968
2016-12-15,2036.65,2013.5176,23.1324
2016-12-16,2042.24,2014.22832,28.01168
2016-12-19,2038.39,2014.68648,23.70352
2016-12-20,2041.94,2015.1604,26.7796
2016-12-21,2037.96,2015.52344,22.43656
2016-12-22,2035.73,2015.9156,19.8144
2016-12-23,2035.9,2016.80088,19.09912
2016-12-26,2037.75,2017.68808,20.06192
2016-12-27,2042.17,2018.53568,23.63432
2016-12-28,2024.49,2019.08072,5.40928
2016-12-29,2026.46,2019.5296,6.9304
2017-01-02,2026.16,2019.84032,6.31968
2017-01-03,2043.97,2020.22968,23.74032
2017-01-04,2045.64,2020.676,24.964
2017-01-05,2041.95,2021.38664,20.56336
2017-01-06,2049.12,2021.98696,27.13304
2017-01-09,2048.78,2022.6724,26.1076
2017-01-10,2045.12,2023.12504,21.99496
2017-01-11,2075.17,2023.79656,51.37344
2017-01-12,2087.14,2024.44928,62.69072
2017-01-13,2076.79,2024.99344,51.79656
2017-01-16,2064.17,2025.36872,38.80128
2017-01-17,2071.87,2025.7748,46.0952
2017-01-18,2070.54,2026.204,44.336
2017-01-19,2072.79,2026.66264,46.12736
2017-01-20,2065.61,2027.08976,38.52024
2017-01-23,2065.99,2027.53496,38.45504
2017-01-24,2065.76,2027.96248,37.79752
2017-01-25,2066.94,2028.27928,38.66072
2017-01-26,2083.59,2028.7476,54.8424
2017-01-31,2067.57,2029.11936,38.45064
2017-02-01,2080.48,2029.63368,50.84632
2017-02-02,2071.01,2029.96488,41.04512
2017-02-03,2073.16,2030.39792,42.76208
2017-02-06,2077.66,2031.06088,46.59912
2017-02-07,2075.21,2031.66232,43.54768
2017-02-08,2065.08,2032.03944,33.04056
2017-02-09,2065.88,2032.31752,33.56248
2017-02-10,2075.08,2032.56792,42.51208
2017-02-13,2078.65,2032.84,45.81
2017-02-14,2074.57,2033.04616,41.52384
2017-02-15,2083.86,2033.31328,50.54672
2017-02-16,2081.84,2033.58592,48.25408
2017-02-17,2080.58,2033.88056,46.69944
2017-02-20,2084.39,2034.11192,50.27808
2017-02-21,2102.93,2034.48544,68.44456
2017-02-22,2106.61,2035.00104,71.60896
2017-02-23,2107.63,2035.46264,72.16736
2017-02-24,2094.12,2035.86552,58.25448
2017-02-27,2085.52,2036.20632,49.31368
2017-02-28,2091.64,2036.63944,55.00056
2017-03-02,2102.65,2037.20184,65.44816
2017-03-03,2078.75,2037.51392,41.23608
2017-03-06,2081.36,2037.8876,43.4724
2017-03-07,2094.05,2038.37824,55.67176
2017-03-08,2095.41,2038.83504,56.57496
